P1. Housing,P2. Built environment,P3. Services for families,P4. Social services,"P5 Health and medical care, nutrition",P6. Education and training,P7. Legal protection,P8. Democracy,P9 Administration,P10. Work and unemployment,P11. Industries,P12. Employer services,P13. Pensions,P14. Taxation and public finance,P15. Private finance and funding,P16. Transport,P17. Tourism,P18. Maps,P19. Safety and security,P20. Public order,P21. Consumer matters,P22. Immigration and emigration,P23. The environment,"P24. Natural resources, flora and fauna",P25. Culture,P26. Communications,P27. Sports and outdoor activities
,,,"This service subclass includes general advice and guidance on social services provided for citizens as well as support for social welfare clients in issues related to social services, including legal protection and client relationships. For example, the activities of a social services ombudsman belong to this class.",This service subclass contains statutory and other services whose primary purpose is to help a person recover his or her work or functional ability that has been reduced for various reasons through different therapeutic and/or medical methods.,This service subclass primarily contains pursuing secondary and tertiary level studies abroad through either a student exchange scheme or some other procedure. It also includes the application procedures and the approval and comparability of qualifications obtained.,,,,,,,,,,,,,,,,,,,,,
,,,P4.14. Social service auxiliary and support services,P5.14. Home nursing and informal care,P6.14. Financial support for studies,,,,,,,,,,,,,,,,,,,,,
,,,"This service subclass contains services complementing social services that help to support the basic tasks of a service unit, a client's everyday life and the accessibility of social services. They include meal, clothing care and cleaning services, services that promote social interaction, and e-service channels intended for service unit clients.","This service subclass contains home nursing as a service that supports a patient in living at home. It includes home nursing activities, support for home nursing and procedures for applying for this support. This class also contains informal care, which includes subsidies and benefits for informal carers, rights to family leave and contracts related to informal caring.","This service subclass contains forms of financial support for students, support application processes and services, and eligibility criteria. The class includes all levels of education and training where financial aid is available for students.",,,,,,,,,,,,,,,,,,,,,
,,,,P5.15. Medicines and pharmacies,P6.15. Science and research,,,,,,,,,,,,,,,,,,,,,
,,,,"This service subclass includes issues related to disseminating information about medicines, prescriptions, reimbursement of medicine expenses, and the processing of pharmaceutical injuries.","This service subclass includes services related to scientific research, in particular those associated with research funding, research permit procedures and publication activities.",,,,,,,,,,,,,,,,,,,,,
,,,,P5.16. Health-related peer and voluntary activities,,,,,,,,,,,,,,,,,,,,,,
,,,,"This service subclass contains both peer activities (volunteer support and guidance provided by individuals or groups who live with or have experienced a certain illness for those in a similar situation) and volunteer activities (volunteer support and guidance provided by individuals or communities for patients without a peer group setting). Peer activities include those related to gambling problems, childlessness, informal care, intoxicant addition, illnesses, sexuality, bereavement, eating disorders, giving up smoking or a disability.",,,,,,,,,,,,,,,,,,,,,,
,,,,P5.17. Advisory and guidance services for health and well-being,,,,,,,,,,,,,,,,,,,,,,
,,,,"The class contains services related to an individual service transaction, visit to a service unit, or a service package or its management, through which a client receives advice and guidance when seeking health and/or well-being services in either problem situations or health promotion. These include the patient ombudsman’s services, appointments, reminder services, self-care services and case management services.",,,,,,,,,,,,,,,,,,,,,,
,,,,P5.18. Support services for well-being services,,,,,,,,,,,,,,,,,,,,,,
,,,,"Client and patient services that support the basic task of a unit or an individual client, which include services related to accommodation, nutrition, recreation and access to information for service unit clients and patients. Services related to daily living aids are also in this category.",,,,,,,,,,,,,,,,,,,,,,
,,,,P5.19. Patient’s rights,,,,,,,,,,,,,,,,,,,,,,
,,,,This service subclass includes a patient ombudsman's services as well as information and other services through and within which patients can implement their rights.,,,,,,,,,,,,,,,,,,,,,,
,,,,P5.20. Nutrition,,,,,,,,,,,,,,,,,,,,,,
,,,,"This service subclass contains issues related to nutrition that maintains good health, including nutrition recommendations and nutritional advice.",,,,,,,,,,,,,,,,,,,,,,
,,,,P5.21. Food safety,,,,,,,,,,,,,,,,,,,,,,
,,,,This service subclass includes issues related to food safety as well as inspections and information activities associated with food safety. The class also includes food safety related permits and notifications that are required for enterprising.,,,,,,,,,,,,,,,,,,,,,,
