GFDC-number,concept-id,Keytype,indexTerm-en,indexTerm-de,indexTerm-fi,note,fi-new-term
221.22,,,Strip systems,Streifensysteme,,,
221.221,,,Clear-strip system: progressive,Kahlstreifensystem,,,
221.221,,,Strip systems: progressive clear-strip,Streifensysteme: Kahlstreifen- und Kahlsaumschlag,,,
221.221,,,,Kahlsaumschlagsystem,,,
221.222,,,Alternate clear-strip system,Kulissenschlagsystem,,,
221.222,,,Clear-strip system: alternate,,,,
221.222,,,Strip systems: alternate clear-strip,Streifensysteme: Kulissenschlag,,,
221.223,,,Shelterwood (high forest) systems: strip,"Verjüngungssysteme im Hochwald mit Schutzwirkung: Schirmstreifen-, Schirmsaumschlag",,,
221.223,,,Strip systems: shelterwood strip,"Streifensysteme: Schirmstreifenschlag, Schirmsaumschlag",,,
221.224,,,"\""Blendersaumschlag\""",Blendersaumschlag,,,
221.224,,,"Shelterwood (high forest) systems: \""Blendersaumschlag\""",Verjüngungssysteme im Hochwald mit Schutzwirkung: Blendersaumschlag,,,
221.224,,,"Strip systems: \""Blendersaumschlag\""",Streifensysteme: Blendersaumschlag,,,
221.224,,,"Wagner's \""Blendersaumschlag\""",,,,
221.225,,,Shelterwood (high forest) systems: wedge,Verjüngungssysteme im Hochwald mit Schutzwirkung: Keilschirmschlag,,,
221.225,,,Strip systems: wedge,Streifensysteme: Keilschirmschlag,,,
221.225,,,Wedge system,Keilschirmschlag,,,
221.226,,,Shelterwood (high forest) systems: strip-and-group,Verjüngungssysteme im Hochwald mit Schutzwirkung: Saumfemelschlag,,,
221.226,,,Strip systems: strip-and-group,Streifensysteme: Saumfemelschlag,,,
221.23,,,"\""Femelschlag\""",Femelschlag,,,
221.23,,,Group system,Gruppenschirmschlag,,,
221.23,,,Irregular shelterwood system,,,,
221.23,,,Shelterwood (high forest) systems: group,Verjüngungssysteme im Hochwald mit Schutzwirkung: Gruppenschirmschlag,,,
221.23,,,Shelterwood (high forest) systems: irregular,Verjüngungssysteme im Hochwald mit Schutzwirkung: Femelschlag,,,
221.4,,,Selection systems (high forest),Plenterwaldsystem (Hochwald),,,
221.41,,,Selection systems (high forest): proper,Plenterwaldsystem (Hochwald): eigentliches Plenterwaldsystem,,,
221.411,,,Group selection system,Gruppenweiser Plenterbetrieb,,,
221.411,,,Selection systems (high forest): group,Plenterwaldsystem (Hochwald): gruppenweiser Plenterwald,,,
221.42,,,Selective logging,Dimensionsplenterung,,,
221.5,,,Accessory silvicultural systems,"Hochwaldformen, besondere",,,
221.51,,,High forest: with reserves (standards),Hochwald: Überhaltbetrieb,,,
221.51,,,"Reserves, high forest with",Überhälter: im Hochwald,,,
221.51,,,Standards: high forest with,,,,
221.52,,,High forest: two-storeyed,Hochwald: zweihiebiger Hochwald,,,
221.52,,,Two-storeyed high forest,Zweihiebiger Hochwald,,,
221.6,,,"Continuous forest (\""Dauerwald\"")","\""Dauerwald\""",,,
221.6,,,continuous-cover silviculture,,Jatkuva kasvatus ,,f
221.6,,,Dauerwald,Ausschlagwald,,,
222,,,Coppice systems [Cf. also 231.4],,,,
222.1,,,Coppice systems: with standards,Ausschlagwald: Mittelwald,,,
222.1,,,Standards: coppice with,Überhälter: Mittelwald,,,
222.1,,,,Mittelwald,,,
222.2,,,,Ausschlagwald: Niederwald,,,
222.21,,,Coppice systems: simple,Ausschlagwald: Niederwald: einfacher,,,
222.21,,,Simple coppice,"Niederwald, einfacher",,,
222.22,,,Coppice systems: selection,Ausschlagwald: Niederwald: geplenterter,,,
222.22,,,Selection coppice,"Niederwald, geplenterter",,,
222.22,,,,Plenterniederwald,,,
222.23,,,Coppice systems: shelterwood,Ausschlagwald: Niederwald mit Schutzschleier,,,
222.23,,,Shelterwood coppice system,Niederwald mit Schutzschleier,,,
222.3,,,Lopping: as silvicultural system,,,,
222.3,,,Pollarding systems,,,,
222.3,,,,Kopfholz- und Schneitelbetrieb,,,
223,,,Protection forest,Schutzwald,Suojametsä ,,
226,,,Change of silvicultural system or species,"Umwandlungen, Waldbausystem und Holzarten",,,
226,,,"Conversion, silvicultural (by system or spp.)",Wechsel des Waldbausystems oder der Holzarten,,,
228,,,Stand: composition and constitution: silvicultural aspects,Bestand: Aufbau und Zusammensetzung (waldbauliche Gesichtspunkte),,,
228,,,Structure: stand (silvicultural aspects),,,,
228.0,,,Choice of species: general,Baumartenwahl,,,
228.0,,,Mixtures: choice of form and species (general),Mischungsform: Holzartenwahl (Allgemeines),,,
228.0,,,"Species, choice of",Holzartenwahl,,,
228.11,,,Canopy: overhead cover and density,Kronendach: Schlußgrad und Bestandesdichte,,,
228.11,,,Crown density of stands: as silvicultural factor,Kronendichte im Bestand: als waldbaulicher Faktor,,,
228.11,,,"Density: canopy, as silvicultural factor",Schlußgrad (Beschirmungsgrad): als waldbaulicher Faktor,,,
228.12,,,Suppression and dominance in forest stands,Neben- und Hauptbestand,,,
228.125,,,Dominance and suppression (tree classes),,,,
228.125,,,Tree classes,Baumklassen,,,
228.2,,,Pure forest; pure stands,Reine Bestände,,,
228.3,,,Mixed forest; mixed stands,Gemischte Bestände,,,
228.3,,,,Mischwald,,,
228.5,,,Even-aged stands,Gleichaltrige Bestände,,,
228.6,,,Uneven-aged forest; uneven-aged stands,Ungleichaltrige Bestände,,,
228.7,,,Artificial stands,Künstliche Bestände,,,
228.7,,,"Plantations, forest","Anpflanzungen, forstliche",,,
228.8,,,Natural forest; natural stands,Natürliche Bestände,,,
228.81,,,Natural forest; natural stands: virgin,Natürliche Bestände: Urwald (Primärbestände),,,
228.81,,,Urwald,Urwald,,,
228.81,,,Virgin stands,Primärbestände,,,
228.82,,,"Natural forest; natural stands, \""second-growth\""","Natürliche Bestände: auf Schlagflächen, Zweitwuchs",,,
228.82,,,pioneer tree,,Pioneeripuu ,,f
228.82,,,Second-growth forest; second-growth stands,Zweitwuchsbestände,,,
228.82,,,Secondary forests,Sekundärwald,,,
228.9,,,Border trees and shrubs as a protective surround,Waldmantel,,,
228.9,,,Shrubs and border trees as a protective surround,Trauf,,,
23,,,Regeneration,Verjüngung,Uudistaminen ,,
230,,,Regeneration: forms of,Verjüngung: Arten der,,,
230.1,,,Regeneration: forms of (over large areas),Verjüngung: Arten der (Großflächen),,,
230.2,,,"Groups, regeneration by",Horstweise Verjüngung,,,
230.2,,,Regeneration: forms of (by groups),Verjüngung: Arten der (horst- und gruppenweise),,,
230.3,,,Regeneration: forms of (by strips),Verjüngung: Arten der (streifen- und saumweise),,,
230.3,,,Strips: regeneration by,Streifenverjüngung,,,
231,,,"Regeneration, natural","Verjüngung, natürliche",,,
231.1,,,"Advance growth, regeneration from",Vorverjüngung,,,
231.1,,,"Regeneration, natural: from advance growth","Verjüngung, natürliche: Vorverjüngung",,,
231.3,,,"Regeneration, natural: preparatory measures","Verjüngung, natürliche: vorbereitende Maßnahmen",,,
231.31,,,Canopy: manipulation for natural regeneration,Kronendach: Eingriffe in das Kronendach zur natürlichen Verjüngung,,,
231.32,,,Clearing of sites: for natural regeneration,Abräumung des Bodens: natürliche Verjüngung,,,
231.32,,,"Ground vegetation, manipulation for: natural regeneration","Bodenvegetation, Maßnahmen zur: natürlichen Verjüngung",,,
231.32,,,Scraping of undergrowth and ground vegetation preparatory to natural regeneration,Abziehen des Unterwuchses und der Bodenvegetation zur Vorbereitung der natürlichen Verjüngung,,,
231.32,,,Undergrowth: manipulation preparatory to natural regeneration,Unterwuchs: Vorbereitende Maßnahmen für die natürliche Verjüngung,Alikasvos ,,
231.321,,,"Ground vegetation, manipulation for: natural regeneration (by cutting, scraping etc.)",,,,
231.321,,,"Undergrowth: cutting, scraping etc.","Unterwuchs: Fällen, Abschneiden usw.",,,
231.322,,,Burning (uses of fire) to prepare for natural regeneration,Brennen (Anwendung von Feuer): zur Vorbereitung der natürlichen Verjüngung,,,
231.322,,,"Ground vegetation, manipulation for: natural regeneration (by burning)","Bodenvegetation, Maßnahmen zur: natürlichen Verjüngung (durch Abbrennen)",,,
231.322,,,Undergrowth: burning,Unterwuchs: Abbrennen,,,
231.323,,,Grazing: to prepare for natural regeneration,Weide: zur Vorbereitung der natürlichen Verjüngung,,,
231.323,,,"Ground vegetation, manipulation for: natural regeneration (by grazing)","Bodenvegetation, Maßnahmen zur: natürlichen Verjüngung (Beweiden)",,,
231.323,,,Undergrowth: grazing,Unterwuchs: Beweiden,,,
231.324,,,"Ground vegetation, manipulation for: artificial regeneration (other herbage control)","Bodenvegetation, Maßnahmen zur: natürlichen Verjüngung (durch Vergiften)",,,
231.324,,,"Ground vegetation, manipulation for: natural regeneration (by poisoning)","Bodenvegetation, Maßnahmen zur: künstlichen Verjüngung (Vergiften)",,,
231.324,,,Poisoning: ground vegetation (to prepare for natural regeneration),Vergiften: Bodenvegetation: (zur Vorbereitung der natürlichen Verjüngung),,,
231.324,,,Undergrowth: poisoning,Unterwuchs: Vergiften,,,
231.33,,,Soil preparation: for natural regeneration,,,,
231.331,,,"Cultivation, soil: for natural regeneration",Bodenbearbeitung: zur natürlichen Verjüngung,,,
231.332,,,Dünger und Düngen: bei natürlicher Verjüngung,Fertilizing and fertilizers: in natural regeneration,,,
231.4,,,"Coppice, natural regeneration from",Stockausschlag: natürliche Verjüngung durch,,,
231.41,,,"Coppice, natural regeneration from effects of: season of cutting",Stockausschlag: Einfluß: der Fällungszeit,,,
231.42,,,"Coppice, natural regeneration from effects of: height of cutting",Stockausschlag: Einfluß: der Stockhöhe,,,
231.43,,,Age of trees and other plants: effect on coppicing,Alter von Bäumen und anderen Pflanzen: Wirkung auf den Stockausschlag,,,
231.43,,,"Coppice, natural regeneration from effects of: age or size of trees cut",Stockausschlag: Einfluß: von Alter und Stärke der gefällten Bäume,,,
231.44,,,"Coppice, natural regeneration from effects of: trimming stumps",Stockausschlag: Einfluß: der Bearbeitung (Behauen) der Stöcke,,,
231.44,,,"Trimming: stumps, effect on coppicing",,,,
231.5,,,Root suckers: natural forest regeneration from,Wurzelbrut: natürliche Verjüngung aus,,,
232,,,Artificial regeneration,Künstliche Verjüngung,,,
232,,,"Regeneration, artificial","Verjüngung, künstliche",,,
232.1,,,Choice of species: for plantations,Baumartenwahl: bei der künstlichen Verjüngung,,,
232.1,,,"Species, choice of: for plantations",Holzartenwahl: bei der künstlichen Verjüngung,,,
232.1,,,,Holzrassenwahl,,,
232.11,,,"\""Gardens,\"" forest",Anbauversuchsflächen,,,
232.11,,,"Exotics, trials of",Exotenversuche,,,
232.11,,,Species trials,Holzartenversuche,,,
232.11,,,Trials of: species (including exotics),"Anbauversuche, Holzarten",,,
232.12,,,Provenance trials,Provenienzversuche,,,
232.12,,,"Races, trials of",Rassenversuche,,,
232.12,,,Trials of: races and provenances,,,,
232.13,,,Hybrids: trials of,Hybriden: Versuche mit,,,
232.13,,,Tree breeding: trials of products,,,,
232.13,,,Trials of: hybrids and other products of tree-breeding,Züchtungsversuche,,,
232.2,,,"Artificial regeneration, auxiliary measures for",Künstliche Verjüngung: Vorbereitende Arbeiten. Hilfsmaßnahmen,,,
232.21,,,"Ground vegetation, manipulation for: artificial regeneration","Bodenvegetation, Maßnahmen zur: künstlichen Verjüngung",,,
232.21,,,"Regeneration, artificial: site preparation for","Verjüngung, künstliche: Vorbereitung der Kulturflächen",,,
232.211,,,Clearing of sites: for artificial regeneration,Abräumung des Bodens: künstliche Verjüngung,,,
232.212,,,Grazing: to prepare for artificial regeneration,Weide: zur Vorbereitung der künstlichen Verjüngung,,,
232.212,,,"Ground vegetation, manipulation for: artificial regeneration (grazing)","Bodenvegetation, Maßnahmen zur: künstlichen Verjüngung (Beweiden)",,,
232.213,,,Burning (uses of fire) to prepare for artificial regeneration,Brennen (Anwendung von Feuer): zur Vorbereitung der künstlichen Verjüngung,,,
232.213,,,"Ground vegetation, manipulation for: artificial regeneration (by burning)","Bodenvegetation, Maßnahmen zur: künstlichen Verjüngung (durch Abbrennen)",,,
232.214,,,Poisoning: ground vegetation (to prepare artificial regeneration),Vergiften: Bodenvegetation: (zur Vorbereitung der künstlichen Verjüngung),,,
232.215,,,Ditching,Graben anlegen,,,
232.215,,,Drainage: to prepare planting site,Entwässerung: zur Vorbereitung der Kulturflächen,,,
232.216,,,"Cultivation, soil: for artificial regeneration","Kultivierung, Boden: für künstliche Verjüngung",,,
232.216,,,Mounding,Aufhöhen,Mätästys ,,
232.216,,,Ploughing: of plantation sites before planting,Pflügen: von Aufforstungsstandorten vor der Pflanzung,Auraus ,,
232.216,,,screefing,,Laikutus ,,f
232.216,,,Soil preparation: for artificial regeneration,"Bodenbearbeitung, zur künstlichen Verjüngung",Muokkaus ,,
232.217,,,Irrigation: of plantation sites before planting or sowing,Bewässerung: auf Anbauflächen vor dem Säen oder Pflanzen,,,
232.22,,,"Regeneration, artificial: combined with agriculture [Cf. also 261]","Verjüngung, künstliche: in Verbindung mit Landwirtschaft",,,
232.22,,,Taungya method of plantation establishment,Taungya-Methode der Bestandesgründung,,,
232.23,,,Peat: soils,"Torf, Böden",,,
232.23,,,Peatland forestry,,,,
232.3,,,,Pflanzenerziehung,,,
232.31,,,Seed,Saatgut,,,
232.311,,,Seed: production,Samen: Erzeugung,,,
232.311.1,,,Seed: crops (forest seed),Saatgut: Samenerzeugung,,,
232.311.1,,,Seed: years,Saatgut: Samenjahre,,,
232.311.2,,,Elite stands and trees: seed production from,Elitebestände und -bäume: Samenproduktion von,,,
232.311.2,,,Seed: production (from élite trees and stands),Saatgut: Samenerzeugung (von Elitebäumen und -beständen),,,
232.311.2,,,,Plusbaum,,,
232.311.3,,,Dwarf trees for seed production,Pfropfplantagen zur Samenerzeugung,,,
232.311.3,,,Grafted dwarf trees as seed producers,Pfropfbäumchen als Samenlieferanten,,,
232.311.3,,,"Seed: production (from \""seed orchards\"")",Saatgut: Samenerzeugung (von Samenplantagen),,,
232.311.3,,,Seed: production (from dwarf grafts etc.),Saatgut: Samenerzeugung (von Pfropfplantagen),,,
232.311.3,,,Seed: production (methods of inducing),Saatgut: Samenerzeugung (Methoden zur Förderung der Samenerzeugung),,,
232.311.4,,,"Seeds, transgenic experiments","Saatgut, transgene Versuche",,,
232.311.4,,,Transgenic experiments on seeds,Transgene Saatgutversuche,,,
232.312,,,"Seeds, collection","Saatgut, Ernte",,,
232.312,,,"Seeds, extraction","Saatgut, Gewinnung",,,
232.312,,,"Seeds, grading","Saatgut, Sortierung",,,
232.312.1,,,"Collection, seed",Samenernte,,,
232.312.1,,,Seed: collection,Saatgut: Ernte,,,
232.312.2,,,Extraction: seed,Klengung des Samens,,,
232.312.2,,,Seed: extraction,Saatgut: Klengung,,,
232.312.3,,,Germination: effects of sorting and grading seed,Keimung: Wirkung der Sortierung des Samens auf,,,
232.312.3,,,Grading: seed,,,,
232.312.3,,,Seed: grading,Saatgut: Sortierung,,,
232.312.3,,,Sorting: of seed,Sortierung: des Saatgutes,,,
232.312.31,,,Seed: weight,Saatgut: Gewicht,,,
232.312.4,,,Processing,Verarbeitung,,,
232.312.4,,,"Processing, seeds","Verarbeitung, Saatgut",,,
232.314,,,Certification: seed,Zertifizierung: Saatgut,,,
232.314,,,"Intellectual property, seeds","Schutzrechte, Saatgut",,,
232.314,,,Seed recognition,Saatgutanerkennung,,,
232.314,,,Seed: certification,Saatgut: Saatgutanerkennung (-zertifizierung),,,
232.314,,,Seed: purchase,Saatgut: Samenbezug,,,
232.314,,,Seed: trade and transport,Saatgut: Handel und Transport,,,
232.314,,,"Seeds, intellectual property","Saatgut, Schutzrechte",,,
232.314,,,Transport of seed,Transport von Saatgut,,,
232.315,,,Seed: treatment (general),Saatgut: Behandlung (Allgemeines),,,
232.315.1,,,"Disinfection and disinfestation, seed",Schutzbehandlung des Samens,,,
232.315.1,,,Fumigation: of seed,Begasung von Samen,,,
232.315.1,,,"Insect attack on seed and young plants, protection against: seed disinfestation","Insektenangriffe auf Samen und junge Pflanzen, Schutz gegen: Schutzbehandlung des Samens",,,
232.315.1,,,Seed fumigation,Saatgut: Samenbegasung,,,
232.315.1,,,Seed: disinfection; disinfestation,Saatgut: Schutzbehandlung,,,
232.315.2,,,Seed: storage,Saatgut: Lagerung,,,
232.315.2,,,"Storage, of seed",Lagerung des Saatgutes,,,
232.315.3,,,"Pre-treatment, seed",Vorbehandlung des Saatguts,,,
232.315.3,,,Seed: dormancy (treatments to overcome),Saatgut: Samenruhe,,,
232.315.3,,,Seed: pre-treatment,Saatgut: Vorbehandlung,,,
232.315.3,,,"Stratification, seed","Stratifikation, Samen",,,
232.315.3,,,Vernalisation,Vernalization,,,
232.315.4,,,"Dressings, protective: seed",Schutzmittelanwendung: Samen,,,
232.315.4,,,Seed: dressings (protective),Saatgut: Behandlung mit Schutzmitteln vor der Aussaat,,,
232.315.4,,,Seed: pelleting,,,,
232.318,,,Germination: tests,Keimung: Keimversuche,,,
232.318,,,Quality: seed,Qualität: Saatgut,,,
232.318,,,Seed: germination (tests),Saatgut: Keimung(Keimversuche),,,
232.318,,,Seed: quality,Saatgut: Qualität,,,
232.318,,,Seed: testing,Saatgut: Prüfung,,,
232.32,,,Nurseries and nursery practice,Pflanzschulen,,,
232.320,,,Nurseries,Baumschulen,,,
232.321,,,Nursery sites,Pflanzschulen: Lage und deren Auswahl bestimmende Faktoren,,,
232.321,,,,"Bodenvegetation, Maßnahmen zur: natürlichen Verjüngung (durch Abschneiden, Abziehen usw.)",,,
232.322,,,Soil preparation: in nurseries,Bodenbehandlung: in Pflanzgärten,,,
232.322.1,,,"Crop rotations, nursery",Fruchtwechsel im Pflanzschulbetrieb,,,
232.322.1,,,Fallowing : nurseries,Brache in Pflanzschulen,,,
232.322.1,,,Green manuring: nurseries,Gründüngung: in Pflanzschulen,,,
232.322.1,,,"Leys, nursery",Wechselwiese im Pflanzschulen,,,
232.322.1,,,Nursery rotations,"Pflanzschulen: Fruchtwechsel, Brache usw.",,,
232.322.1,,,Rotations: nursery,,,,
232.322.2,,,Soil sterilization: nurseries,Bodensterilisierung: Pflanzschulen,,,
232.322.2,,,"Sterilization, soil: in nurseries","Sterilisierung, Boden: in Pflanzschulen",,,
232.322.3,,,"Acidification, nursery soil","Ansäuerung, Boden in Pflanzschulen",,,
232.322.3,,,Soil acidification: nurseries,Bodenansäuerung: Pflanzschulen,,,
232.322.4,,,Fertilizing and fertilizers: general information on fertilizers,Dünger und Düngen: Allgemeines über Düngemittel,,,
232.322.4,,,Fertilizing and fertilizers: in nurseries,Dünger und Düngen: in Pflanzschulen,,,
232.322.41,,,Fertilizing and fertilizers: in nurseries (inorganic),Dünger und Düngen: beim Pflanzen (anorganisch),,,
232.322.411,,,Nitrogen fertilizers (nursery),Stickstoffdünger (Pflanzgarten),,,
232.322.412,,,Phosphate fertilizers (nursery),Phosphatdünger (Pflanzgarten),,,
232.322.414,,,Potassium fertilizers (nursery),,,,
232.322.417,,,Calcium fertilizers (nursery),Calciumdünger (Pflanzgarten),,,
232.322.417,,,Lime (nursery),Kalkdünger (Pflanzgarten),,,
232.322.42,,,Fertilizing and fertilizers: in nurseries (trace elements),Dünger und Düngen: beim Pflanzen (Spurenelemente),,,
232.322.42,,,Trace elements: fertilizing nurseries with,Spurenelemente: Pflanzschuldüngung mit,,,
232.322.43,,,Fertilizing and fertilizers: in nurseries (organic),Dünger und Düngen: beim Pflanzen (organisch),,,
232.322.43,,,Organic manures (except composts),,,,
232.322.43,,,Sewage sludge in nurseries,Klärschlamm: in Pflanzschulen,,,
232.322.44,,,"Compost, use of: in nurseries",Kompost: Verwendung in Pflanzschulen,,,
232.322.44,,,Composting,,,,
232.322.44,,,Household refuse for nursery compost,Kompostzubereitung: als Kompost für Baumschulen,,,
232.322.44,,,Litter: use in nurseries,Waldstreu: Verwendung in Pflanzschulen,,,
232.322.44,,,,Müll: Verwendung in Pflanzschulen,,,
232.322.45,,,"Inoculation, soil: in nurseries",,,,
232.322.45,,,Soil inoculation: in nurseries,Bodenimpfung: bei Freilandsaat: in Pflanzschulen,,,
232.322.49,,,Soil conditioner (nursery),Bodenverbesserer: Verwendung in Pflanzschulen,,,
232.322.49,,,,Krilium zur Bodenverbesserung in: Pflanzschulen,,,
232.322.5,,,"Cultivation, soil: in nurseries",Bodenbearbeitung: in Pflanzgärten,,,
232.322.5,,,,Bodengare s.,,,
232.322.6,,,"Nursery beds, formation of","Pflanzschulbeete, Ausformung der",,,
232.322.6,,,"Seedbeds, nursery: formation of",Saatbeete in Pflanzschulen: Beetausformung,,,
232.323,,,Sowing in nurseries,Saat in Pflanzschulen,,,
232.323.1,,,Sowing in nurseries: mechanized,Saat in Pflanzschulen: maschinelle,,,
232.323.1,,,"Sowing in nurseries: methods (drilling, broadcasting etc.)","Saat in Pflanzschulen: Methoden (Rillen-, Vollsaat usw.)",,,
232.323.2,,,Density: of sowing: (in nursery),Saatdichte: im Pflanzgarten,,,
232.323.2,,,Seed: quantity (in nursery sowings),Saatgut: Menge: (in der Pflanzschule),,,
232.323.2,,,Sowing in nurseries: density and seed quantity,Saat in Pflanzschulen: Dichte und Menge,,,
232.323.3,,,Sowing in nurseries: season and date,Saat in Pflanzschulen: Saatzeit,,,
232.323.4,,,Sowing in nurseries: soil conditions,Saat in Pflanzschulen: Bodenzustand,,,
232.323.4,,,Sowing in nurseries: weather conditions,Saat in Pflanzschulen: Witterung,,,
232.323.5,,,"Covering, seed: nursery sowings",Bedeckung bei Saaten: Pflanzschule,,,
232.323.5,,,Seed: covering (in nursery),Saatgut: Bedeckung: (in Pflanzschulen),,,
232.323.5,,,Sowing in nurseries: covering,Saat in Pflanzschulen: Bedeckung,,,
232.323.5,,,Sowing in nurseries: depth of,Saat in Pflanzschulen: Tiefe,,,
232.323.6,,,Rolling of seedbeds,Walzen der Saatbeete,,,
232.323.6,,,"Seedbeds, nursery: compacting, rolling","Saatbeete in Pflanzschulen: Walzen, Verdichten",,,
232.323.7,,,"Glass, use of: in nursery sowings","Glasfenster, Verwendung in Pflanzschulen",,,
232.323.7,,,Soil heating: nursery seedbeds,Bodenheizung für Pflanzschulsaatbeete,,,
232.323.7,,,Sowing in nurseries: soil heating,Saat in Pflanzschulen: Bodenheizung,,,
232.323.7,,,Sowing in nurseries: use of glass,Saat in Pflanzschulen: Verwendung von Glasfenstern,,,
232.324,,,Lining out,Verschulung,,,
232.324,,,Transplanting,,,,
232.324.1,,,Lifting: of seedlings,Ausheben: des Pflanzgutes bzw.,,,
232.324.1,,,Seedlings: lifting,Sämlinge: Ausheben,,,
232.324.2,,,Grading: seedlings for lining out,,,,
232.324.2,,,Lining out: grading seedlings for,Verschulung: Sortieren der Sämlinge,,,
232.324.2,,,Seedlings: grading for lining out,Sämlinge: Sortierung für die Verschulung,,,
232.324.2,,,Seedlings: size and quality: effect on subsequent growth,Sämlinge: Größe und Qualität: Einfluß auf das nachfolgende Wachstum,,,
232.324.2,,,Sorting: of seedlings,Sortierung: der Sämlinge,,,
232.324.3,,,Lining out: density,Verschulung: Verschulverband,,,
232.324.3,,,Seedlings: lining-out (density),Sämlinge: Verschulen: (Verband),,,
232.324.4,,,Lining out: season and date of,Verschulung: Verschulzeit,,,
232.324.4,,,Season: lining out,Jahreszeit: Verschulzeit,,,
232.324.4,,,Seedlings: lining-out (season and date),Sämlinge: Verschulen: (Jahreszeit),,,
232.325,,,Tending: of nursery beds,Pflege in Pflanzschulbeeten,,,
232.325,,,Verschulbeete (Pflege),"Transplant beds, tending",,,
232.325.1,,,Irrigation: of nurseries,Bewässerung: in Pflanzschulen,,,
232.325.1,,,Watering: in nurseries,,,,
232.325.2,,,"Cultivation, soil: in nurseries (weeding, hoeing)",Bodenbearbeitung: in Pflanzgärten (Unkrautbekämpfung),,,
232.325.2,,,Weeding: nurseries,Unkrautbekämpfung: in Pflanzschulen,,,
232.325.21,,,Weeding: nurseries (hand weeding and hoeing),Unkrautbekämpfung: in Pflanzschulen (mit der Hand oder Hacke),,,
232.325.22,,,Weeding: nurseries (mechanical),Unkrautbekämpfung: in Pflanzschulen (maschinell),,,
232.325.23,,,Flame guns and hoes for nursery weeding,,,,
232.325.23,,,Torches for nursery weeding,,,,
232.325.23,,,Weeding: nurseries (with torches etc.),Unkrautbekämpfung: in Pflanzschulen (durch Feuer),,,
232.325.23,,,,Feuer zur Unkrautbekämpfung in Pflanzschulen,,,
232.325.24,,,Poisoning: ground vegetation (in nurseries),Vergiften: Bodenvegetation: (in Pflanzschulen),,,
232.325.24,,,Weeding: nurseries (with chemicals),Unkrautbekämpfung: in Pflanzschulen (mit Chemikalien),,,
232.325.3,,,Mulching: in nurseries,Mulchen: im Saat- und Verschulbeet,,,
232.325.4,,,Thinning-out of nursery seedlings,Vereinzeln der Sämlinge,,,
232.325.5,,,Acclimatization: nursery stock,Akklimatisieren von Pflanzen in Pflanzschulen,,,
232.325.5,,,Hardening off of nursery plants,Abhärten von Sämlingen und Pflänzlingen,,,
232.326,,,Salvage: overgrown stock in nurseries,,,,
232.326,,,Seedlings: salvage of overgrown,Sämlinge: Beschneiden der Pflänzlinge,,,
232.326.1,,,Root pruning: in the nursery,Wurzelschnitt: in Pflanzschulen,,,
232.326.1,,,Transplants: root pruning,Verschulpflanzen: Wurzelschnitt,,,
232.326.2,,,"\""Wrenching\""",,,,
232.326.2,,,"Transplants: undercutting, wrenching",Verschulpflanzen: Anheben und Wurzelschnitt im Boden,,,
232.326.2,,,Undercutting of nursery stock,Wurzelschnitt: im Boden in Pflanzschulen,,,
232.326.2,,,,Anheben der Sämlinge und Pflänzlinge im Boden,,,
232.326.3,,,Shoot pruning: in the nursery,Sproßschnitt: in Pflanzschulen,,,
232.326.3,,,Transplants: shoot pruning,Verschulpflanzen: Einstutzen und Schnitt des Sprosses,,,
232.327.11,,,Precipitation: forest injuries and protection (in nurseries),Niederschlag: Forstschäden und Schutzmaßnahmen (in Pflanzschulen),,,
232.327.11,,,Rain: forest injuries and protection (in nurseries),Regen: Forstschäden und Forstschutz(in Pflanzschulen),,,
232.327.11,,,Sheltering: of nursery stock (from wind and rain),,,,
232.327.11,,,Wind injuries and protection from wind: in nurseries,Windschäden und Schutzmaßnahmen gegen Wind: in Pflanzschulen,,,
232.327.12,,,Beschattung: in Pflanzschulen,Shading: of nursery stock,,,
232.327.12,,,Insolation: protection against in nurseries,"Sonnenstrahlung: Schutz gegen, in Pflanzschulen",,,
232.327.13,,,Frost injuries and protection: protection in nurseries,Frostschäden und Schutzmaßnahmen: Schutzmaßnahmen in Pflanzgärten,,,
232.327.2,,,Damping off: protective measures in nurseries,Umfallkrankheit: Schutzmaßnahmen in Pflanzschulen,,,
232.327.2,,,"Diseases, tree: protection against in nurseries",Krankheiten der Bäume: Schutzmaßnahmen in Pflanzschulen,,,
232.327.2,,,Fungus diseases of trees and protection against them: protection measures in nurseries,Pilzkrankheiten von Bäumen und Schutzmaßnahmen dagegen: Schutzmaßnahmen in Pflanzschulen,,,
232.327.2,,,Virus diseases: protection in nurseries,Viruskrankheiten: Schutzmaßnahmen in Pflanzschulen,,,
232.327.3,,,Birds: damage by and protection against (in the nursery),Vögel: Schäden durch und Schutz gegen (in Pflanzschulen),,,
232.327.3,,,Mammalia: protection against in nurseries,Mammalia: Schutzmaßnahmen in Pflanzschulen,,,
232.327.4,,,"Insect attack on seed and young plants, protection against: in nurseries","Insektenangriffe auf Samen und junge Pflanzen, Schutz gegen: in Pflanzschulen",,,
232.328,,,Vegetative propagation: nursery methods,Vegetative Vermehrung: Pflanzschulmethoden,,,
232.328.1,,,Cuttings: propagation in nursery etc.: (stem cuttings),(Zweigstecklinge),,,
232.328.2,,,Cuttings: propagation in nursery etc.: (root cuttings),Stecklinge: Vermehrung in Pflanzschulen usw.: (Wurzelstecklinge),,,
232.328.2,,,"Root cuttings, propagation by","Wurzelstecklinge, Vermehrung durch",,,
