fdcNumber,conceptId,Keytype,indexTerm-en,indexTerm-de,indexTerm-sv,indexTerm-fi,indexTerm-fr,indexTerm-sl,indexTerm-sp,agrovocConcept,scopeNote,fi-new-term,seÄven,USE-se,RT-se,v2016-se,altLabel-en,altLabel-de,altLabel-sv,altLabel-fi,altLabel-fr,altLabel-sl,altLabel-sp,hiddenLabel-en,hiddenLabel-de,hiddenLabel-sv,hiddenLabel-fi,hiddenLabel-fr,hiddenLabel-sl,hiddenLabel-sp
181.43,899,,Fire: reaction of plants to,Feuer: Reaktion der Pflanzen auf,eld: reaktion hos växter för,kasvien reaktiot tuleen,,,reacción de las plantas ante el fuego,,,,,,,,,,,,,,,,,,,,,
181.45,900,,Environmental pollution - influence on (plant ecology),"Verunreinigungen der Umwelt, Einflüsse auf Pflanzen","miljöföroreningar, inverkan","ympäristömyrkyt, (kasvien vastustuskyky)",,,contaminación ambiental - es Influencia (ecología vegetal),,,,,,,,,,,,,,,,,,,,,
181.48,901,,"Man, influence of on vegetation",Mensch: Einfluss auf die Vegetation,"människan, inverkan",ihmisen vaikutus kasvistoon,,,impacto humano sobre la flora,,,,,,,,,,,,,,,,,,,,,
181.48,902,,"Recreation, influence of","Erholung, Einfluss von","Rekreation, inflytande av",virkistyskäytön vaikutus kasveihin,,,"recreación, el efecto sobre las plantas",,,,,,,,,,,,,,,,,,,,,
181.5,903,,plant reproduction (ecology),Pflanzen Fortpflanzung (Ökologie),fortplantning hos växter (ekologi),kasvien lisääntyminen (ekologia),,,reproducción vegetal (ecológia),,,,,,,,,,,,,,,"Reproductive behaviour: plants|Behaviour, reproductive: plant","Fortpflanzung, Verhalten bei der: Pflanzen|Reproduktives Verhalten: Pflanzen","vanor, fortplantningsbiologiska: växter|Beteende, fortplantng: växter",lisääntymistavat (kasvit)|kasvien lisääntyminen,,,"reproductor, comportamiento de las plantas |forma de reproducción: de las plantas "
181.51,904,,"Asexual (vegetative) reproduction, plant",Ungeschlechtliche (vegetative) Fortpflanzung: Pflanzen,asexuell (vegetativ) förökning hos växter,aseksuaalinen (vegetatiivinen) lisäys,,,reproducción asexual (vegetativa) en las plantas ,,,,,,,,,,,,,,,,,,,,,
181.51,905,,Clones: reproduction,Klone: Fortpflanzung,kloner: fortplantning,kloonit (lisääntyminen),,,clones (aumento),,,,,,,,,,,,,,,,,,,,,
181.51,906,,Layering: natural,Absenker: natürliche Fortpflanzung durch,"avläggning, naturlig","taivukaslisäys, luonnollinen",,,acodos: naturales  ,,,,,,,,,,,,,,,,,,,,,
181.51,907,,"Reproduction, plant: ecological aspects (vegetative reproduction)","Fortpflanzung, Pflanzen: ökologische Gesichtspunkte (vegetative Fortpflanzung)","fortplantning, växter: ekologi (vegetativ förökning)",kasvien lisääntyminen (vegetatiivinen lisäys),,,"reproducción vegetal, aspecto ecológico (reproducción vegetativa o asexual) ",,,,,,,,,,,,,,,,,,,,,
181.51,908,,Root suckers: reproduction by (ecology),Wurzelbrut: Fortpflanzung durch (Ökologie),rotskott: fortplantning genom,juurivesat,,,reproducción por brotes de raíz (ecología) ,,,,,,,,,,,,,,,,,,,,,
181.51,909,,Vegetative reproduction,Vegetative Fortpflanzung,vegetativ fortplantning,vegetatiivinen lisääminen,,,reproducción vegetativa ,,,,,,,,,,,,,,,,,,,,,
181.52,910,,"Reproduction, plant: ecological aspects (sexual reproduction)","Fortpflanzung, Pflanzen: ökologische Gesichtspunkte (geschlechtliche Fortpflanzung)","fortplantning, växter: ekologi (sexuell förökning)","kasvintuotanto, suvullinen lisääminen",,,"reproducción vegetal, aspecto ecológico (reproducción sexual) ",,,,,,,,,,förökning,,,,,,,,,,,
181.521,911,,Flowering,Blühen,blomning,kukinnot,,,floración ,,,,,,,,,,,,,,,,,,,,,
181.521,912,,Pollination,Bestäubung,pollinering,pölytys,pollinisation,,polinisación,,,,,,,,,,,,,,polinización ,,,,,,,
181.522,913,,Fruiting,Fruchten,fruktsättning,hedelmöinti,,,fructificación,,,,,,,,,,,,,,,,,,,,,
181.523,914,,Seed: dispersal,Saatgut: Verbreitung,"frö, spridning","siemenet, levitys",,,diseminación  de las semillas,,,,,,,,,,,,,,,,,,,,,
181.524,915,,Seed: after-ripening,Saatgut: Nachreife,"frö, eftermognad",siemenet: jälkikypsyminen,,,semillas: post-maduración,,,,,,,,,,,,,,,,,,,,,
181.524,916,,Seed: dormancy,Saatgut: Samenruhe,viloperiod hos frön,siemenet: dormanssi,,,vida latente de las semillas ,,,,,,,,,,"frö, viloperiod",,,,,,,,,,,
181.524,917,,Seed: longevity,Saatgut: Lebensdauer,"frö, livslängd",siemenet: elinikä,,,longevidad de las semillas,,,,,,,,,,,,,,,,,,,,,
181.525,918,,Germination,Keimung,groning,idätys,,,germinación ,,,,,,,,Seed: germination,Saatgut: Keimung,"frö, groning",,,,,,,,,,,
181.525,919,,Seedlings: development (ecology),Sämlinge: Entwicklung (Ökologie),fröplantor: utveckling (ekologi),siementaimet: kehitys (ekologia),,,plantitas de vivero: desarrollo del embrión (ecología) ,,,,,,,,,,,,,,,Development: plant (seedling),,,,,,
181.526,920,,"Pollen, dispersion","Pollen, Verbreitung",pollen: dispersion,siitepöly: levintä,,,"polen, dispersión",,,,,,,,,,,,,,,,,,,,,
181.526,921,,"Pollen, viability","Pollen, Lebensfähigkeit",pollen: levnadsduglighet,siitepöly: elinkyky,,,"polen, viabilidad",,,,,,,,,,,,,,,,,,,,,
181.6,922,,"Form: of plants and trees, ecological aspects","Form: von Pflanzen und Bäume, ökologische Aspekte","form: på plantor och träd, ekologiska synpunkter",kasvin muoto ja kasvu (ekologia),,,forma: de plantas y árboles; aspecto ecológico ,,,,,,,,,,habitus,,,,,Post-seedling development and form|Development: plant (post-seedling),Entwicklung und Form nach dem Sämlingsalter|Entwicklung: Pflanze (nach dem Sämlingsalter),utveckling av plantor och form efter groddplantsstadiet|utveckling efter groddplantsstadiet,taimien kehitys ja muoto|kehitys: kasvit (taimet),,,"post-embrionario, forma y desarrollo "
181.61,923,,Habit of growth,Wuchsform der Pflanzen,habitus,kasvutapa,,,fisonomía ,,,,,,,,,,,,,,,,,,,,,
181.61,924,,"Life form, plants",Lebensform der Pflanzen,"livsform, växter","elämänmuoto, kasvit",,,forma de vida de las plantas ,,,,,,,,,,,,,,,,,,,,,
181.62,925,,Crown form and crown relations (of individual trees or species – ecological aspects),Kronenform und Kronenverhältnisse (von Einzelbäumen oder Baumarten - ökologische Gesichtspunkte),"krondimension, mått, kronform och kronförhållanden (ekologiska synpunkter)",latvuksen muoto ja suhteet (yksittäiset puut ja lajit),,,forma de la copa y espesura (en árboles  individuales o especies; aspecto ecológico) ,,,,,,,,,,,,,,,,,,,,,
181.63,926,,Epicormics,Wasserreiser,vattenskott,vesaoksat,,,brotes epicórmicos,,,,,,,,,,,,,,,,,,,,,
181.63,927,,Natural pruning,Natürliche Astreinigung,naturlig kvistrensning,karsiutuminen,,,poda natural,,,,,,,,,,,,,,,,,,,,,
181.63,928,,Persistence of branches,Astigkeit,kvistighet,oksaisuus,,,persistencia en la caída de las ramas ,,,,,,,,,,,,,,,,,,,,,
181.63,929,,Self-pruning,Astreinigung,kvistrensning,itsekarsinta,,,poda propia,,,,,,,,,,,,,,,,,,,,,
181.63,930,,Shedding of branches,Abwerfen der Zweige,"uppkvistning, naturlig","oksien variseminen, luonnollinen",,,caída de las ramas ,,,,,,,,,,,,,,,,,,,,,
181.64,931,,Stem form,Stammform,stamform,runkomuoto,,,forma del vástago,,[For mensurational aspects see 524.1][holzmeßkundliche Gesichtspunkte siehe 524.1],,,,,,,,,,,,,,,,,,,
181.65,932,,"Growth, plant: relation to environmental factors",Wachstum der Pflanzen: Einfluß der Umgebung,tillväxtfysiologi: växter (tillväxtens beroende av omgivningen),kasvufysiologia: kasvit (ympäristön vaikutus),,,crecimiento de las plantas: influencia del medío ambiente ,,,,,,,,,,,,,,,,,,,,,
181.65,933,,Silvicultural measures: effect on growth,Waldbauliche Maßnahmen: Wirkung auf das Wachstum,skogsbrukssätt: inverkan på tillväxt,metsänhoitomenetelmät: vaikutus kasvuun,,,medidas selvícolas: influencia en el crecimiento ,,,,,,,,,,,,,,,,,,,,,
181.66,934,,Lammas shoot,Johannistrieb,johannisskott,jälkiverso,,,brote tardio,,,,,,,,secondary shoot (annual)|Lammas growth,,proleptiskt skott,toistokasvain,,,,,,,,,,
181.71,935,,Age of trees and other plants: exceptional,Alter von Bäumen und anderen Pflanzen: außerordentliches Alter,ålder på träd och andra växter: exceptionell,"ikä, kasvien",,,edad de los árboles y otras plantas: excepcional,,,,,,,,,,,,,,,,,,,,,
181.71,936,,Longevity of plants,Lebensdauer (Langlebigkeit) der Pflanzen,livslängd hos växter,kasvien elinikä,,,duración (longevidad) de las plantas ,,,,,,,,Duration (longevity) of plants,Langlebigkeit von Pflanzen,,,,,tiempo (longevidad)|tiempo (duracion),,,,,,,
181.71,937,,Stature of plants,,"storlek, växters",kasvien koko,,,talla de las plantas ,,,,,,,,,,,,,,tamaño de las plantas,,,,,,,
181.71,938,,Veteran trees,Baumsteigegeräte: Baumveteranen,exceptionell ålder hos träd,erityisen vanhat puut,,,árboles viejos,,,,,,,,,,,,,,,,,,,,,
181.75,939,,Age of trees and other plants: effect on behaviour,Alter von Bäumen und anderen Pflanzen: Wirkung auf das Verhalten,ålder på träd och andra växter: inverkan på beteende och egenskaper,puiden ja ksvien ikä: vaikutus kasvuun ja ominaisuuksiin,,,edad de los árboles y otras plantas: efectos en el comportamiento del árbol ,,,,,,,,,,,,,,,,,,,,,
181.76,940,,Dead trees or other plants or parts of plants: ecological role [Litter see 114.351],Tote Bäume oder andere Pflanzen oder Pflanzenteile: ökologische Bedeutung,döda träd (ekologisk betydelse),kuolleet puut (ekologinen merkitys),,,arboles muertos y otras plantas o partes de las mismas: papel ecológico,,,,,,,,Trees: dead: ecological ro1e,Bäume: tote Bäume: ökologische Bedeutung,,,,,,,,träd: döda: ekologisk betydelse,,,,
181.76,941,,"Logs, fallen: ecological role",Fallholz: ökologische Bedeutung,stock på marken,maapuut,,,arboles caídos  (papel ecológico),,,,,,,,,,,,,,,,,vindfällen: ekologisk betydelse,,,,
181.76,942,,Stumps: dead (ecological role),Stumpen: tote (ökologische Bedeutung),stubbar: döda (ekologisk betydelse),kannot: kuollet (ekologinen vaikutus),,,tocones: muertos (papel ecológico) ,,,,,,,,,,,,,,,,,,,,,
181.8,943,,Phenology,Phänologie,fenologi,fenologia,,,fenología ,,,,,,,,,,,,,,,,,,,,,
182,944,,Communities: plant,Gesellschaften (Biologie): botanisch,samhällen: växter,yhteisöt: kasvit,,,comunidades: vegetales ,,,,,,,,,,,,,,,,,,,,,
182,945,,Plant communities (ecology),Pflanzengesellschaften (Ökologie),växtsamhällen (ekologi),kasviyhteisöt (ekologia),,,agrupaciones de plantas (ecología),,,,,,,,,,,,,,,,,,,,,
182,946,,plant sociology,Pflanzensoziologie,växtsociologi,kasvisosiologia,,,fitosociología ,,,,,,,,Sociology: plant,Soziologie: Pflanzen,sociologi: växter,,,,,"Vegetation: sociology (synecology), principles and methods","Vegetation: Soziologie (Synökologie), Grundsätze und Methoden","vegetation: växtsociologi, principer och metoder",kasvillisuus: kasvisosiologia,,,"vegetación: sociología (sinecología) vegetal, principios y métodos "
182,947,,"Synecology, plant","Synökologie, Pflanzen",synekologi: växter,synekologia: kasvit,,,synecología: plantas,,,,,,,,,,,,,,,,,,,,,
182.1,948,,Paleobotany,Paläobotanik,paleobotanik,paleobotaniikka,,,paleobotánica,,,,,,,,"Palaeoecology, plant","Paläoökologie, Pflanzen",paleoekologi: växter,paleoekologia,,,paleoecología vegetal ,,,,,,,
182.1,949,,Pollen analysis,Pollenanalyse,pollenanalys,siitepölyanalyysi,,,análisis polinico,,,,,,,,,,,,,,,,,,,,,
182.1,950,,"Vegetation, history","Vegetation, Geschichte",vegetation: vegetationshistoria,kasvillisuus: historia,,,historia de la vegetación,,,,,,,,"History, of vegetation","Geschichte, Vegetationsgeschichte",,,,,,,,,,,,
182.2,951,,Vegetation: alternation in,Vegetation: Alternanz,vegetation: alternerande utveckling,kasvillisuus: vaihtelu,,,alternancias en la vegetación,,,,,,,,,,,,,,,,,,,,,
182.2,952,,Vegetation: periodicity in,Vegetation: Periodizität,vegetation: periodisk utveckling,kasvillisuus: kausivaihtelu,,,periodicidad de la vegetación,,,,,,,,,,,,,,,,,,,,,
182.21,953,,Natural succession,Natürliche Sukzession,naturlig succession,luontainen sukkessio,,,sucesión natural,,,,,,,,,,,,,,,"Succession, natural (plant)|Vegetation: succession of","Sukzession, natürliche (Pflanzen)|Vegetation: Sukzession","succession, naturlig, hos växter|vegetation: succession",luonnollinen sukkessio|kasvillisuus: sukkessio,,,sucesión natural (de la vegetación) 
182.21,954,,"Seres and seral communities, plant","Gesellschaftsserien, Gesellschaftsfolgen bei Pflanzen",,sukkessiosarjat ja -yhteisöt,,,seres y series de agrupaciones vegetales ,,,,,,,,,,,,,,,,,,,,,
182.22,955,,Climaxes (plant ecology),Klimax (Pflanzensoziologie),klimax,kliimaks,,,climax (ecología vegetal) ,,,,,,,,,,,,,,,Vegetation: climaxes and proclimaxes,Vegetation: Klimax und Proklimax,vegetation: klimax och proklimax,kasvillisuus: kliimaks ja prokliimaks,,,
182.22,956,,Proclimaxes,Proklimax,proklimax,prokliimaks,,,proclimax ,,,,,,,,,,,,,,,,,,,,,
182.23,957,,Ecotones,"Übergangsgesellschaften, Übergangszonen",ekoton,ekotoni,,,ecotonos,,,,,,,,,,gränssamhällen,,,,,Vegetation: ecotones,Vegetation: Übergänge,vegetation: övergångssamhällen,,,,
182.23,958,,forest line,Wakdgrenze,skogsgränsen,metsäraja,,,línea de la madera,,113(253)(23.073),,,,,,timberline,,,,,,,,,,,,,
182.23,959,,tree line,Baumgrenze,trädgränsen,puuraja,limite des arbres,,línea de árboles,,,,,,,,,,,,,,,,,,,,,
182.24,960,,Alternes,Alternes,,,,,alternes  ,,,,,,,,,,,,,,,,,,,,,
182.24,961,,Spatial alternation in vegetation,Räumliche Alternanz der Vegetation,alternerande utveckling hos vegetationen: i rummet,kasvillisuuden alueellinen vaihtelu,,,alternancias de la vegetación en el espacio,,,,,,,,,,,,,,,Alternation in vegetation: spatial (alternes)|Vegetation: alternation in (spatial),Vegetation: Alternanz (räumliche)|Alternanz der Vegetation: räumliche (Alternanz),vegetation: alternerande utveckling (alternerande uppträdande i rummet),,,,
182.25,962,,Temporal alternation in vegetation,Zeitliche Alternanz in der Vegetation,,kasvillisuuden ajallinen vaihtelu,,,alternancias  de la veqetación: en el tiempo (p.ej. alternancia de dominantes),,,,,,,,,,,,,,,Alternation in vegetation: temporal (e.g. of dominants)|Vegetation: alternation in (temporal),Alternanz der Vegetation: zeitliche (z.B. der Dominanz)|Vegetation: Alternanz (zeitliche),alternerande utveckling hos vegetationen: i tiden|vegetation: alternerande utveckling (temporär),,,,
182.28,963,,Seasonal aspects of vegetation types,Jahreszeitliche Aspekte in der Pflanzensoziologie,årstidsaspekter på vegetation,kasvillisuuden vuodenaikaisvaihtelu,,,variaciones de la vegetaciôn con las estaciones del año,,,,,,,,,,,,,,,Vegetation: alternation in (seasonal),Vegetation: Alternanz (jahreszeitliche),vegetation: alternerande utveckling (årstidsaspekter),,,,
182.3,964,,Plant associations: status as units of vegetation etc.,Pflanzenassoziationen: Vegetationseinheiten usw.,,,,,"asociaciones vegetales, como unidades de vegetación ",,,,,,,,,,,,,,,,,,,,,
182.3,965,,units of vegetation,Vegetationseinheiten (Theorie),vegetationsenheter,kasvillisuusyksiköt,,,unidades de vegetación,,,,,,,,,,,,,,,,,,,,,ver también: vegetación: tipo
182.4,966,,Layer communities (vegetation),Schichtgesellschaften (Pflanzensoziologie),enskiktsamhällen,kasvillisuuskerrokset,,,comunidades vegetativas en estratos,,,,,,,,,,,,,,,Vegetation: layers,Vegetation: Schichtgesellschaften,vegetation: enskiktsamhällen,,,,
182.41,967,,Dominant tree layer: as an ecological unit (community),Herrschende Baumschicht: als ökologische Einheit (Gesellschaft),härskande trädskikt: som ekologiskt samhälle,vallitseva latvuskerros,,,"estrato arbóreo dominante, como uniclad ecológica (comunidad) ",,182.41/.42,,,,,,Tree layers: dominant,Baumschicht (Ökologie): herrschende,"trädskikt (ekologi), härskande",,,,arbóreos estratos (ecologia) dominantes  ,,,,,,,
182.42,968,,Understorey tree layers: ecology,Unterständige Baumschichten: Ökologie,"trädskikt (ekologi), undertryckta",keskikerros (metsä),,,arbóreos estratos (ecologia) en subpiso  ,,,,,,,,Tree layers: understorey,unterständige,lägre trädskikt: ekologi,,,,,,,,,,,
182.43,969,,Climbers,Kletterpflanze,klängväxter,kiipijäkasvit,,,plantas trepadoras ,,,,,,,,,,,,,,,,,,,,,
182.43,970,,Lianes,Lianen,lianer,liaanit,,,lianas  ,,,,,,,,,,,,,,,,,,,,,
182.44,971,,Epiphytes: stem and branch: ecology,Epiphyten: Stamm und Zweige: Ökologie,epifyter: stammar och grenar: ekologi,epifyytit: rungolla ja oksilla: ekologia,,,epifitas: sobre tronco y sobre ramas: ecologia ,,,,,,,,,,,,,,,,,,,,,
182.45,972,,Epiphyllous plants,Epiphylle,epifylla växter,epifylliset kasvit,,,epifitas: hojas: ecología ,,,,,,,,Epiphytes: leaf: ecology,Epiphyten: Blatt: Ökologie,epifyter: löv: ekologi,,,,,,,,,,,
182.46,973,,Shrub layers (ecology),Strauchschicht,buskskikt (ekologi),pensaskeros,,,estratos  herbáceos,,,,,,,,,,,,,,,,,,,,,
182.47,974,,Herbaceous layer (vegetation),Krautschicht (Ökologie),fältskikt (vegetation),kenttäkerros,,,"rasantes, estratos vegetales herbáceos ",,,,,,,,Ground flora (layers): herbaceous,Bodenflora: Krautschicht,"markvegetation, fältskikt",ruohokerros,,,,,,,,,,
182.47/.48,975,,Ground layers,Bodenflora,markvegetation,pohjakerros,,,estratos  rasantes  ,,,,,,,,Ground flora (layers),,undervegetation,,,,"rasantes, estratos vegetales musgos o líquenes ",,,,,,,
182.48,976,,Lichen layer (vegetation),Flechtenschicht (Pflanzensoziologie),lavskikt,jäkäläkerros,,,estrato rasante de líquenes (vegetación) ,,,,289.6,,,,,,,,,,,,,"markvegetation, lavskikt",,,,
182.48,977,,Moss layer (vegetation),Moosschicht (Pflanzenökologie),mosskikt,sammalkerros,,,musgos; como estrato vegetal (ecología) ,,,,289.6,,,,,,,,,,,,,"markvegetation, mosskikt",,,,
182.5,978,,"Synecological measurements and methods, plant","Synökologische Messungen und Methoden, Pflanzen","synekologi: växter, mätningar och metoder",synekologiest mittaukset ja menetelmät (kasvit),,,medidas sinecológicas y métodos (plantas)  ,,,,,,,,Vegetation: methods of study,,,,,,vegetación: métodos de estudio,Vegetation: experimental methods,Vegetation: Versuchsmethoden,vegetation: synekologiska metoder,,,,vegetación: métodos experimentales
182.51,979,,Constancy (plant ecology),Konstanz (Pflanzenökologie),konstans (växtekologisk),muuttumattomuus (kasviekologia),,,constancia (ecología vegetal) ,,,,,,,,,,,,,,,,,,,,,
182.51,980,,Density: of vegetation,,täthet: vegetationstäthet,kasvutiheys (kasviekologia),,,densidad de la vegetación,,,,,,,,,,,,,,,,,,,,,
182.51,981,,Fidelity (plant ecology),,,tarkkuus (kasviekologia),,,fidelidad (fitosociología) ,,,,,,,,,,,,,,,,,,,,,
182.51,982,,Frequency (plant ecology),Häufigkeit (Pflanzenökologie),frekvens (växtekologi),taajuus (kasviekologia),,,frecuencia (ﬁtosociología) ,,,,,,,,,,,,,,,,,,,,,
182.51,983,,Vegetation: structure of,Vegetation: Aufbau,vegetation: struktur,kasvillisuuden rakenne (kasviekologia),,,estructura de la vegetación ,,,,,,,,,,,,,,,Structure: vegetation,,,,,,
182.52,984,,Quadrats,Quadratmethode usw.,kvadrater,ruutumenetelmä,,,cuadrados,,,,,,,,,,,,,,,Vegetation: quadrats,Vegetation: Quadratmethode,vegetation: kvadrater,,,,vegetación: cuadrados 
182.52,985,,Transects (plant ecology),Transekt (Ökologie),Transektar (växtekologi),linjalaskenta,,,fajas (análisis  sinecológico por) ,,,,,,,,,,,,,,,Vegetation: transects,Vegetation: Querschnitte,vegetation: linjetaxering,,,,vegetación: franjas 
182.53,986,,"Vegetation: manipulation of, as experimental method","Vegetation: Beeinflussung der, als Versuchsmethode","vegetation: ingrepp i, som försöksmetod","kasvillisuuden muokkaus, koejärjestely",,,empleo de la vegetación como método experimental ,,,,,,,,,,,,,,,,,,,,,
182.54,987,,Biotic factors: manipulation of: as method in plant ecology,Biotische Faktoren: ihre Beeinflussung als pflanzenökologische Methode,"biotiska faktorer: ändringar av, som försöksmetod växtekologi","bioottisten tekijöiden muokkaus, koejärjestely",,,empleo de los factores bióticos como  método experimental,,,,,,,,,,,,,,,,,,,,,
182.55,988,,Site factors (abiotic): manipulation of: as ecological method,Standortsfaktoren: Beeinflussung der abiotischen Standortsfaktoren als Versuchsmethode,"ståndortsfaktorer (abiotiska), ändringar av: som ekologisk försöksmetod","abioottisten tekijöiden muokkaus, koejärjestely",,,empleo de los factores locales (abióticos) como método experimental ,,,,,,,,,,,,,,,Abiotic factors manipulation of: as plant-ecological method,,"abiotiska ståndortsfaktorer, ändringar i : som försöksmetod",,,,ernpleo de los factore abióticos como método experimental
182.58,989,,Vegetation surveys (mapping),Pflanzenkartierung,vegetationens kartläggning,kasvillisuuskartoitukset,,,vegetación: inventariación (cartografia) ,,,,,,,,Surveying: vegetation (ecological)|Mapping of vegetation,Kartieren: der Vegetation|Pflanzen: Kartierung,kartläggning: vegetation (ekologisk),kartoitus: kasvillisuuden,,,cartografía de masas veqetales (ecología) ,,,,,,,
182.7,990,,Biomass,Biomasse,biomassa,biomassa,,,biomassa,,,,,,,,,,,,,,,,,,,,,
182.8,991,,Cultivated plant communities (ecology),Künstliche Pflanzengesellschaften (Ökologie),odlade växtsamhällen (ekologi),viljellyt kasviyhteisöt,,,"cultivadas, agrupaciones de plantas (ecología) ",,,,,,,,Communities plant (artificial),Botanische Gesellschaften  (künstlich),växtsamhällen (artificiella),kasviyhteisöt (viljely),,,comunidades: vegetales (agrupaciones artificiales) ,,,,,,,
187,992,,ecotypes,Ökotypen,ekotyper,ekotyypit,,,ecotipos,,,,,,,,,,,,,,,,,,,,,
187,993,,Forest,Wald,skog,metsä,foret,,bosques,,"There are many definitions for forest which reflects the diversity of forests and forest ecosystems in the world and the diversity of human approaches to forest. The world's Forest Resources Assessment (FRA-2005) defines forest as land spanning more than 0.5 hectares with trees higher than 5 metres and a canopy cover of more than 10 percent, or trees able to reach these thresholds in situ. It does not include land that is predominantly under agricultural or urban land use. (SilvaTerm 2005)",,,,,,,,,,,,montes,,,,,,,
187,994,,land cover,Landbedeckung,växttäcke,maanpeite,couvert végétal,pokrovnost tal,cubierta terrestre,,"The ecological state and physical appearance of the land surface, e.g., forest and grassland. NOTE Land cover may be changed by human intervention, natural disturbances or plant succession (SilvaVoc 2005)",,,,,,,,,,,,,,,,,,,
187,995,,"Types, forest: as vegetation types","Typen, Wald : als Vegetationstypen",skogstyper: som vegetationstyper,"metsätyypit, kasvillisuustyyppeinä",,,tipos forestales como tipo de vegetación ,,,,,,,,,,,,,,,,,,,,,
187,996,,Vegetation: types,Vegetation: Typen,vegetation: typer,kasvillisuustyypit,,,vegetación: tipos de,,,,,,,,,,,,,,,,,,,,,
188,997,className,Forest communities,Waldgesellschaften,skogväxtsamhällen,metsäkasviyhteisöt,,,comunidades forestales,,,,,,,,"Communities, forest",,,,,,,,,,,,,
2,998,className,silviculture,Waldbau,skogsskötsel,metsänhoito,,,dasonomía ,,,,,,,,,,,,,,selvicultura ,,,,,,,
22,999,,Silvicultural systems,Waldbausysteme,skogsskötselsystem,metsänhoitotavat,,,tratamientos selvícolas ,,,,,,,,"Systems, silvicultural","Systeme, waldbauliche",,,,,,,,,,,,
221,1000,,felling types,Hiebsarten,huggningsmetoder,hakkuutavat,,,tipos de corta,,,,,,,,,,,,,,,,,,,,,
221,1001,,High forest,Hochwald,högskog,siemenmetsä,forêt de haute futaie,visoki gozd,monte alto,c_3611,,,,,,,timber forest,,,tukkimetsä,,,bosque alto,,,,,,,
221,1002,,regeneration felling,Verjüngungshieb,förnyelsehuggning,uudistushakkuu ,,,corta de regeneración,,,f,,,,,,,,,,,,,,,,,,
221.0,1003,,Felling: basic types of ,Fällen: Hiebsarten,fällning: grundläggande typer,"hakkuu, perustyypit",,,"corta, tipos fundamentales ",,"see also Silvicultural systems, costs 662.2",,,,,,,,,,,,,,,,,,,
221.01,1004,classname,Clear felling,Kahlschlag: als Hiebsart,kalhuggning: huggningsmetod,"avohakkuu, hakkuumenetelmänä",,,cortas a hecho o a tala rasa: como tipo fundamental de corta ,,,,,,,,,,,,,,,,,,,,,
221.02,1005,classname,Shelterwood felling,Schirmhieb als Hiebsart,skärmhuggning,suojuspuuhakkuu,,,"aclareo sucesivo, como tipo fundamental de corta  ",,,,,,,,,,,,,,,,,,,,,
221.04,1006,,"Selection felling, as basic type of felling",Plenterhieb als Hiebsart,blädning,poimintahakkuu,,,cortas de entresaca como tipo fundamental de corta ,,,,,,,,,,,,,,,,,,,,,
221.1,1007,classname,Clear felling system,Kahlschlag als System,kalhuggning system,"päätehakkuu, metsänhoitomenetelmä",,,cortas a hecho o a tala rasa: como método ,,,,,,,,,,,,,,,,,,,,,
221.1,1008,,retention tree,Wetterbaum,kvarhållande träd,säästöpuu ,,,arbol de retención,,,,,,,,,,,jättöpuu,,,,,,,,,,
221.2,1009,,small-scale clearcutting,Verjüngungssysteme im Hochwald mit Schutzwirkung,skärmhuggningssystem,pienaukkohakkuu,,,,,,f,,,,,,,,,,,,,,föryngring: genom upprepad huggning,,,,
221.21,1010,,"""Seed-tree method""","""Seed-tree""-Methode",fröträdsystem,siemenpuumenetelmä,,,monte alto: métodos de tratamiento ,,,,,,,,Seed-tree method,Seed-tree-Methode,,,,,,,,,,,,
221.21,1011,,mother tree,Mutterbaum,fröträd,siemenpuu,,,arboles padres,,,f,,,,,,,,,,,,,,,,,,
221.21,1012,,seedling felling,,huggning till fröträdställning,siemenpuuhakkuu,,,,,,,,,,,,,,,,,,,,,,,,
221.21,1013,,seedling stand,,fröträdställning,siemenpuuasento,,,,,,,,,,,,,,,,,,,,,,,,
221.21,1014,,Uniform system,Schirmschlagsystem,enhetligt högskogsskötselsystem,lohkosiemenpuuhakkuu,,,aclareo uniforme  ,,,,,,,,,,,,,,,Shelterwood (high forest) systems: uniform,Verjüngungssysteme im Hochwald mit Schutzwirkung: Schirmschlag,"skärmhuggningssystem, enhetligt system",,,,
221.22,1015,classname,Strip systems,Streifensysteme,bältessystem,kaistalehakkuu,,,método de regeneracion por fajas,,,,,,,,,,,,,,,,,,,,,
221.221,1016,classname,progressive clear-strip system,Kahlsaumschlagsystem,bältessystem: rörliga kalbälten,kaistaleavohakkuu,,,cortas a hecho por fajas: contiguas ,,,,,,,,Clear-strip system: progressive|Strip systems: progressive clear-strip,Kahlstreifensystem|Streifensysteme: Kahlstreifen- und Kahlsaumschlag,kanthuggningssystem med kalavverkning|kalbälteshuggning: system med rörliga kalbälten,,,,,,,,,,,método de regeneracion por cortas a hecho por fajas contiguas 
221.222,1017,classname,Alternate clear-strip system,Kulissenschlagsystem,alternerande kalbältessystem,kaistaleharsinta,,,cortas a hecho por fajas: alternas ,,,,,,,,,Springschlag|Wechselschlag,,,,,,Clear-strip system: alternate|Strip systems: alternate clear-strip,Streifensysteme: Kulissenschlag,kalbälteshuggning: system med alternerande kalbälten|bältessystem: alternerande kalbälten,,,,método de regeneracion por cortas a hecho por fajas alternas 
